state,date,ML,Low_90,High_90,Low_50,High_50
AN,2020-04-16,3.0,1.01,6.99,2.04,4.45
AN,2020-04-17,2.89,0.97,6.28,2.0300000000000002,4.21
AN,2020-04-18,2.79,0.97,5.89,1.97,4.0
AN,2020-04-19,2.71,0.93,5.58,1.85,3.77
AN,2020-04-20,2.65,0.87,5.32,1.92,3.77
AN,2020-04-21,2.86,1.0,5.5200000000000005,2.0300000000000002,3.91
AN,2020-04-22,2.97,1.12,5.49,2.13,3.95
AN,2020-04-23,2.75,0.97,4.95,2.0300000000000002,3.69
AN,2020-04-24,2.58,0.91,4.64,1.8900000000000001,3.44
AN,2020-04-25,2.45,0.8200000000000001,4.37,1.85,3.33
AN,2020-04-26,2.34,0.78,4.2,1.74,3.16
AN,2020-04-27,2.1,0.59,3.85,1.54,2.9
AP,2020-03-26,3.0,1.01,6.99,2.04,4.45
AP,2020-03-27,2.69,0.98,5.53,1.9100000000000001,3.8000000000000003
AP,2020-03-28,3.33,1.3800000000000001,5.99,2.43,4.37
AP,2020-03-29,4.5,2.45,6.71,3.71,5.49
AP,2020-03-30,4.14,2.54,5.84,3.56,4.93
AP,2020-03-31,3.5,2.2,4.88,3.0300000000000002,4.14
AP,2020-04-01,3.09,1.95,4.25,2.67,3.62
AP,2020-04-02,2.96,1.95,3.99,2.58,3.42
AP,2020-04-03,2.69,1.8,3.64,2.38,3.14
AP,2020-04-04,2.25,1.43,3.14,1.93,2.63
AP,2020-04-05,1.8900000000000001,1.07,2.7,1.58,2.25
AP,2020-04-06,1.6600000000000001,0.88,2.48,1.3900000000000001,2.05
AP,2020-04-07,1.49,0.72,2.31,1.18,1.83
AP,2020-04-08,1.35,0.59,2.18,1.04,1.69
AP,2020-04-09,1.1,0.32,1.8900000000000001,0.8300000000000001,1.49
AP,2020-04-10,0.98,0.19,1.74,0.7000000000000001,1.37
AP,2020-04-11,1.09,0.27,1.8900000000000001,0.8,1.49
AP,2020-04-12,1.1500000000000001,0.31,1.96,0.81,1.5
AP,2020-04-13,1.1300000000000001,0.31,1.96,0.85,1.55
AP,2020-04-14,1.22,0.38,2.05,0.9400000000000001,1.6400000000000001
AP,2020-04-15,1.22,0.39,2.05,0.92,1.61
AP,2020-04-16,1.29,0.45,2.1,0.97,1.6500000000000001
AP,2020-04-17,1.45,0.66,2.29,1.17,1.84
AP,2020-04-18,1.4000000000000001,0.63,2.22,1.1,1.75
AP,2020-04-19,1.42,0.65,2.2,1.16,1.8
AP,2020-04-20,1.61,0.89,2.4,1.35,1.97
AP,2020-04-21,1.59,0.87,2.32,1.35,1.95
AP,2020-04-22,1.57,0.88,2.29,1.32,1.9000000000000001
AP,2020-04-23,1.57,0.9,2.27,1.29,1.85
AP,2020-04-24,1.49,0.84,2.18,1.25,1.8
AP,2020-04-25,1.47,0.8200000000000001,2.13,1.24,1.78
AP,2020-04-26,1.43,0.8,2.09,1.2,1.73
AP,2020-04-27,1.31,0.67,1.94,1.11,1.6400000000000001
BR,2020-03-28,3.0,1.01,6.99,2.04,4.45
BR,2020-03-29,2.69,0.98,5.53,1.9100000000000001,3.8000000000000003
BR,2020-03-30,2.5100000000000002,0.88,4.87,1.84,3.5100000000000002
BR,2020-03-31,2.37,0.87,4.55,1.68,3.21
BR,2020-04-01,2.27,0.8,4.2700000000000005,1.7,3.15
BR,2020-04-02,2.18,0.73,4.05,1.58,2.96
