county,date,ML,Low_90,High_90,Low_50,High_50
Benton,2020-04-12,3.0,0.86,6.84,1.86,4.2700000000000005
Benton,2020-04-13,2.88,0.88,6.17,1.84,4.01
Benton,2020-04-14,2.7800000000000002,0.91,5.78,1.74,3.7600000000000002
Benton,2020-04-15,2.7,0.8300000000000001,5.42,1.8,3.7
Benton,2020-04-16,2.63,0.8300000000000001,5.2,1.68,3.5
Benton,2020-04-17,2.57,0.8200000000000001,5.0200000000000005,1.6600000000000001,3.41
Benton,2020-04-18,2.3000000000000003,0.63,4.51,1.43,3.04
Benton,2020-04-19,2.3000000000000003,0.64,4.55,1.45,3.0700000000000003
Benton,2020-04-20,2.31,0.59,4.54,1.48,3.11
Benton,2020-04-21,2.32,0.59,4.57,1.52,3.16
Benton,2020-04-22,2.32,0.59,4.6000000000000005,1.43,3.09
Clackamas,2020-03-20,3.0,0.86,6.84,1.86,4.2700000000000005
Clackamas,2020-03-21,3.3000000000000003,1.04,6.9,2.15,4.57
Clackamas,2020-03-22,3.0100000000000002,0.99,5.88,2.04,4.08
Clackamas,2020-03-23,2.82,0.9500000000000001,5.33,1.83,3.67
Clackamas,2020-03-24,2.93,1.07,5.3,1.99,3.77
Clackamas,2020-03-25,2.95,1.1,5.07,2.04,3.71
Clackamas,2020-03-26,2.7,1.05,4.63,1.92,3.42
Clackamas,2020-03-27,2.52,0.93,4.26,1.78,3.17
Clackamas,2020-03-28,2.5300000000000002,0.96,4.16,1.86,3.19
Clackamas,2020-03-29,2.37,0.88,3.89,1.7,2.95
Clackamas,2020-03-30,2.25,0.87,3.73,1.59,2.7800000000000002
Clackamas,2020-03-31,2.15,0.75,3.5100000000000002,1.55,2.69
Clackamas,2020-04-01,2.16,0.8,3.49,1.58,2.69
Clackamas,2020-04-02,2.15,0.8200000000000001,3.43,1.54,2.62
Clackamas,2020-04-03,2.05,0.78,3.29,1.44,2.48
Clackamas,2020-04-04,1.96,0.6900000000000001,3.13,1.35,2.36
Clackamas,2020-04-05,1.8800000000000001,0.7000000000000001,3.0700000000000003,1.32,2.3000000000000003
Clackamas,2020-04-06,1.81,0.64,2.96,1.25,2.21
Clackamas,2020-04-07,1.75,0.58,2.86,1.23,2.17
Clackamas,2020-04-08,1.6300000000000001,0.46,2.7,1.08,2.0100000000000002
Clackamas,2020-04-09,1.6,0.43,2.65,1.06,1.98
Clackamas,2020-04-10,1.56,0.42,2.62,1.07,1.98
Clackamas,2020-04-11,1.47,0.31,2.48,0.93,1.84
Clackamas,2020-04-12,1.44,0.25,2.42,0.91,1.82
Clackamas,2020-04-13,1.49,0.3,2.48,0.96,1.87
Clackamas,2020-04-14,1.3900000000000001,0.22,2.36,0.84,1.75
Clackamas,2020-04-15,1.37,0.21,2.34,0.8200000000000001,1.73
Clackamas,2020-04-16,1.36,0.21,2.33,0.81,1.72
Clackamas,2020-04-17,1.34,0.14,2.2600000000000002,0.79,1.7
Clackamas,2020-04-18,1.32,0.13,2.24,0.78,1.69
Clackamas,2020-04-19,1.37,0.2,2.33,0.84,1.75
Clackamas,2020-04-20,1.34,0.15,2.27,0.8,1.71
Clackamas,2020-04-21,1.32,0.15,2.25,0.84,1.74
Clackamas,2020-04-22,1.37,0.17,2.29,0.86,1.76
Columbia,2020-04-12,3.0,0.86,6.84,1.86,4.2700000000000005
Columbia,2020-04-13,2.88,0.88,6.17,1.84,4.01
Columbia,2020-04-14,2.7800000000000002,0.91,5.78,1.74,3.7600000000000002
Columbia,2020-04-15,2.7,0.8300000000000001,5.42,1.8,3.7
Columbia,2020-04-16,2.63,0.8300000000000001,5.2,1.68,3.5
Columbia,2020-04-17,2.34,0.71,4.69,1.49,3.14
Columbia,2020-04-18,2.34,0.65,4.67,1.51,3.17
Columbia,2020-04-19,2.35,0.67,4.72,1.56,3.23
Columbia,2020-04-20,2.36,0.61,4.7,1.46,3.15
Columbia,2020-04-21,2.36,0.6,4.72,1.48,3.18
Columbia,2020-04-22,2.37,0.6,4.75,1.5,3.21
Deschutes,2020-03-23,3.0,0.86,6.84,1.86,4.2700000000000005
Deschutes,2020-03-24,2.88,0.88,6.17,1.84,4.01
Deschutes,2020-03-25,3.14,1.02,6.3100000000000005,2.08,4.28
Deschutes,2020-03-26,2.91,1.0,5.61,1.94,3.87
Deschutes,2020-03-27,2.75,0.93,5.14,1.8900000000000001,3.65
Deschutes,2020-03-28,2.62,0.86,4.8,1.73,3.38
Deschutes,2020-03-29,2.52,0.86,4.59,1.7,3.2600000000000002
Deschutes,2020-03-30,2.43,0.78,4.36,1.69,3.18
Deschutes,2020-03-31,2.36,0.79,4.24,1.59,3.0300000000000002
Deschutes,2020-04-01,2.45,0.85,4.28,1.7,3.13
Deschutes,2020-04-02,2.35,0.79,4.07,1.58,2.95
Deschutes,2020-04-03,2.12,0.62,3.73,1.44,2.73
Deschutes,2020-04-04,2.21,0.7000000000000001,3.81,1.52,2.81
Deschutes,2020-04-05,2.02,0.5700000000000001,3.5500000000000003,1.32,2.56
Deschutes,2020-04-06,1.98,0.53,3.48,1.3800000000000001,2.6
Deschutes,2020-04-07,1.95,0.51,3.43,1.31,2.52
Deschutes,2020-04-08,1.92,0.44,3.34,1.29,2.49
Deschutes,2020-04-09,1.8900000000000001,0.45,3.3200000000000003,1.19,2.39
Deschutes,2020-04-10,1.86,0.4,3.25,1.18,2.37
Deschutes,2020-04-11,1.83,0.37,3.2,1.18,2.36
Deschutes,2020-04-12,1.7,0.23,2.99,1.02,2.19
Deschutes,2020-04-13,1.69,0.23,2.99,1.06,2.23
Deschutes,2020-04-14,1.68,0.24,3.0,1.01,2.19
Deschutes,2020-04-15,1.67,0.15,2.92,0.96,2.15
Deschutes,2020-04-16,1.77,0.28,3.11,1.09,2.29
Deschutes,2020-04-17,1.74,0.22,3.0300000000000002,1.1300000000000001,2.32
Deschutes,2020-04-18,1.61,0.16,2.87,0.9500000000000001,2.13
Deschutes,2020-04-19,1.6,0.14,2.85,0.89,2.08
Deschutes,2020-04-20,1.59,0.11,2.82,0.93,2.12
Deschutes,2020-04-21,1.57,0.09,2.8000000000000003,0.87,2.07
Deschutes,2020-04-22,1.56,0.07,2.7800000000000002,0.91,2.11
Douglas,2020-04-11,3.0,0.86,6.84,1.86,4.2700000000000005
Douglas,2020-04-12,2.88,0.88,6.17,1.84,4.01
Douglas,2020-04-13,3.14,1.02,6.3100000000000005,2.08,4.28
Douglas,2020-04-14,2.91,1.0,5.61,1.94,3.87
Douglas,2020-04-15,2.5,0.79,4.8,1.6600000000000001,3.33
Douglas,2020-04-16,2.46,0.77,4.67,1.57,3.2
Douglas,2020-04-17,2.41,0.74,4.55,1.55,3.14
Douglas,2020-04-18,2.37,0.73,4.46,1.61,3.16
Douglas,2020-04-19,2.15,0.58,4.12,1.36,2.83
Douglas,2020-04-20,2.16,0.61,4.18,1.4000000000000001,2.88
Douglas,2020-04-21,2.17,0.54,4.15,1.34,2.84
Douglas,2020-04-22,2.17,0.55,4.19,1.37,2.88
Jackson,2020-03-29,3.0,0.86,6.84,1.86,4.2700000000000005
Jackson,2020-03-30,3.3000000000000003,1.04,6.9,2.15,4.57
Jackson,2020-03-31,3.0100000000000002,0.99,5.88,2.04,4.08
Jackson,2020-04-01,2.82,0.9500000000000001,5.33,1.83,3.67
Jackson,2020-04-02,2.68,0.91,4.96,1.77,3.47
Jackson,2020-04-03,2.79,1.01,4.97,1.95,3.61
Jackson,2020-04-04,2.61,0.93,4.59,1.85,3.38
Jackson,2020-04-05,2.48,0.85,4.3,1.71,3.15
